AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	6144 	1536 	512 	2944 	64 	0 	1296 	352 	288 	2224 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	239360 	69632 	70912 	174336 	11968 	10816 	49440 	9568 	10512 	61040 	0 	0
	Horz 	60160 	43520 	11264 	115968 	22720 	5440 	29232 	2784 	2992 	16192 	0 	0
	Vert 	77312 	15616 	40960 	105152 	8576 	11008 	25136 	3008 	3632 	17312 	0 	0
32x32 	None 	118080 	36736 	26944 	359424 	38336 	29248 	91120 	10336 	8096 	35664 	0 	0
	Horz 	48000 	22656 	9024 	83840 	76480 	10944 	88624 	11440 	5056 	17440 	0 	0
	Vert 	49920 	10432 	11200 	72064 	13440 	15936 	44640 	4560 	4464 	11040 	0 	0
16x16 	None 	38112 	17520 	13824 	84224 	33904 	15072 	130416 	17792 	11376 	27344 	0 	0
	Horz 	22048 	8656 	6144 	40976 	17088 	7056 	48592 	22896 	8240 	35072 	0 	0
	Vert 	19040 	6032 	6336 	28752 	7648 	4928 	30432 	7024 	6176 	15712 	0 	0
8x8 	None 	4912 	1604 	1496 	7304 	2824 	1680 	10544 	5704 	3328 	13608 	0 	0
	Horz 	1080 	476 	456 	1736 	636 	368 	2476 	1772 	816 	3912 	0 	0
	Vert 	816 	256 	312 	1220 	272 	200 	1260 	544 	364 	1684 	0 	0
4x4 	None 	72 	48 	40 	268 	92 	72 	568 	396 	196 	1388 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
