AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	5376 	1024 	2048 	10368 	1792 	1088 	1808 	0 	16 	32 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	40192 	15616 	22272 	140480 	14080 	16448 	25872 	4736 	5376 	45936 	0 	0
	Horz 	13824 	12032 	11008 	94144 	19456 	8832 	23248 	2832 	2080 	21952 	0 	0
	Vert 	20992 	8960 	21248 	86912 	8832 	13632 	21648 	2880 	3152 	23968 	0 	0
32x32 	None 	54208 	24704 	24192 	363904 	64320 	54976 	130096 	11600 	10768 	69488 	0 	0
	Horz 	23616 	14464 	7936 	135936 	83584 	22848 	131856 	12544 	6208 	36016 	0 	0
	Vert 	19904 	7872 	10368 	117056 	22720 	36352 	84256 	6656 	6960 	28272 	0 	0
16x16 	None 	15808 	8320 	8384 	96576 	44192 	24880 	184368 	17456 	12672 	48080 	0 	0
	Horz 	6480 	4208 	3344 	51472 	27520 	12064 	96656 	25984 	10096 	64368 	0 	0
	Vert 	6224 	3728 	3984 	38160 	12736 	11312 	60560 	8736 	9904 	32640 	0 	0
8x8 	None 	1956 	1276 	1448 	13132 	5324 	3708 	23696 	8028 	4720 	32328 	0 	0
	Horz 	556 	312 	320 	3988 	1304 	928 	5628 	2484 	1060 	9408 	0 	0
	Vert 	472 	340 	404 	2936 	672 	708 	2828 	736 	604 	3984 	0 	0
4x4 	None 	56 	24 	36 	456 	188 	160 	1272 	464 	368 	2904 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
