AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	489984 	33280 	16128 	36352 	10176 	6400 	56736 	14736 	15136 	18416 	0 	0
	Horz 	1280 	256 	256 	320 	64 	256 	464 	48 	48 	80 	0 	0
	Vert 	3328 	256 	256 	896 	128 	128 	112 	0 	16 	0 	0 	0
64x64 	None 	728320 	58368 	36608 	151424 	34240 	30848 	79744 	14080 	12576 	16032 	0 	0
	Horz 	89856 	83968 	3840 	75584 	41280 	6144 	29984 	3264 	1504 	3008 	0 	0
	Vert 	88320 	4864 	8704 	25920 	5504 	5248 	7488 	992 	704 	736 	0 	0
32x32 	None 	206592 	40576 	23488 	207808 	32384 	21120 	53168 	9696 	6672 	10528 	0 	0
	Horz 	68416 	23936 	4608 	33152 	45312 	6016 	38368 	8944 	3872 	6608 	0 	0
	Vert 	48384 	6336 	5440 	17792 	3968 	5056 	12112 	1568 	1744 	2048 	0 	0
16x16 	None 	55344 	12080 	3920 	27232 	16544 	6640 	37216 	5936 	3280 	6000 	0 	0
	Horz 	25008 	4192 	1152 	10976 	6528 	2640 	9744 	4272 	1536 	4960 	0 	0
	Vert 	18336 	2544 	1344 	6960 	2576 	1296 	4544 	1264 	1520 	2352 	0 	0
8x8 	None 	2408 	376 	160 	888 	840 	468 	1276 	604 	468 	1252 	0 	0
	Horz 	588 	64 	56 	256 	120 	96 	236 	136 	52 	280 	0 	0
	Vert 	356 	40 	24 	140 	88 	44 	176 	104 	52 	152 	0 	0
4x4 	None 	40 	0 	0 	12 	24 	16 	24 	20 	20 	76 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
