AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	189440 	0 	0 	23552 	13760 	5120 	4960 	1280 	704 	6944 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	205824 	0 	512 	127616 	36736 	25024 	20224 	4208 	3600 	20416 	0 	0
	Horz 	1024 	0 	0 	1728 	704 	128 	160 	80 	16 	0 	0 	0
	Vert 	2304 	0 	0 	1088 	320 	64 	96 	48 	32 	144 	0 	0
32x32 	None 	19136 	0 	0 	56448 	10432 	11200 	8800 	1936 	1472 	6736 	0 	0
	Horz 	1152 	0 	0 	3520 	5120 	960 	2512 	928 	240 	1056 	0 	0
	Vert 	1664 	0 	0 	6272 	1344 	3648 	4784 	848 	512 	1536 	0 	0
16x16 	None 	8160 	0 	0 	9360 	2256 	2448 	4000 	688 	288 	720 	0 	0
	Horz 	3984 	0 	0 	2752 	4128 	416 	944 	1936 	160 	3040 	0 	0
	Vert 	3456 	0 	0 	2208 	464 	400 	576 	208 	272 	1296 	0 	0
8x8 	None 	2684 	0 	0 	1420 	568 	84 	204 	176 	56 	440 	0 	0
	Horz 	444 	0 	0 	304 	160 	32 	100 	52 	12 	372 	0 	0
	Vert 	352 	0 	0 	224 	92 	12 	84 	16 	8 	236 	0 	0
4x4 	None 	120 	0 	0 	116 	44 	0 	12 	4 	4 	56 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
