AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	149248 	768 	0 	7872 	4672 	1024 	2528 	480 	80 	3312 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	219136 	0 	0 	74176 	25152 	16640 	21072 	3008 	1008 	14592 	0 	0
	Horz 	1792 	0 	0 	320 	256 	192 	208 	32 	16 	512 	0 	0
	Vert 	3328 	0 	0 	1600 	256 	0 	512 	48 	32 	624 	0 	0
32x32 	None 	27904 	0 	0 	79360 	21120 	20480 	24640 	2720 	1872 	8912 	0 	0
	Horz 	1344 	0 	0 	5120 	8704 	2432 	5728 	1568 	480 	1696 	0 	0
	Vert 	1600 	0 	0 	7744 	2816 	5440 	7552 	928 	1328 	2224 	0 	0
16x16 	None 	4208 	0 	0 	11536 	6640 	8064 	14272 	2112 	2352 	2096 	0 	0
	Horz 	1376 	0 	0 	3200 	5968 	1600 	4192 	4656 	1184 	4864 	0 	0
	Vert 	1360 	0 	0 	2992 	1840 	2128 	4128 	1136 	1440 	2400 	0 	0
8x8 	None 	448 	0 	0 	864 	924 	656 	2488 	1360 	904 	1612 	0 	0
	Horz 	52 	0 	0 	108 	156 	68 	364 	212 	108 	1024 	0 	0
	Vert 	24 	0 	0 	84 	84 	64 	312 	160 	160 	584 	0 	0
4x4 	None 	12 	0 	0 	32 	28 	28 	196 	76 	76 	244 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
