AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	92160 	256 	0 	13632 	2816 	64 	3584 	736 	880 	3632 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	165632 	512 	0 	34752 	7808 	64 	5680 	304 	192 	2912 	0 	0
	Horz 	3840 	0 	0 	384 	0 	0 	112 	16 	0 	0 	0 	0
	Vert 	8448 	0 	0 	14080 	64 	64 	560 	0 	0 	80 	0 	0
32x32 	None 	32064 	0 	0 	57536 	3008 	2944 	31984 	3680 	4320 	15376 	0 	0
	Horz 	1152 	0 	0 	5568 	3840 	960 	19248 	3104 	2736 	9984 	0 	0
	Vert 	2496 	0 	0 	8576 	1792 	2176 	24032 	3664 	4272 	12448 	0 	0
16x16 	None 	1104 	0 	0 	13200 	4016 	3520 	58432 	11376 	11552 	39360 	0 	0
	Horz 	416 	0 	0 	3712 	3952 	1136 	9744 	6864 	3376 	22624 	0 	0
	Vert 	192 	0 	0 	4864 	1136 	1088 	14528 	5024 	6368 	17808 	0 	0
8x8 	None 	92 	0 	0 	2672 	1172 	560 	4904 	2440 	1436 	7828 	0 	0
	Horz 	20 	0 	0 	364 	180 	120 	780 	340 	224 	2196 	0 	0
	Vert 	8 	0 	0 	264 	160 	44 	744 	248 	216 	1676 	0 	0
4x4 	None 	8 	0 	0 	332 	96 	60 	628 	156 	172 	1084 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
