AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	0 	0 	0 	1408 	64 	192 	2000 	272 	320 	2912 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	7168 	0 	0 	1920 	64 	0 	3072 	32 	48 	496 	0 	0
64x64 	None 	16896 	0 	0 	9792 	704 	576 	4416 	224 	352 	576 	0 	0
	Horz 	1536 	0 	0 	2176 	448 	64 	432 	144 	0 	320 	0 	0
	Vert 	256 	0 	0 	1408 	192 	64 	432 	80 	64 	64 	0 	0
32x32 	None 	23936 	192 	0 	82944 	5184 	3840 	11456 	1568 	1440 	3456 	0 	0
	Horz 	13632 	0 	0 	45952 	11904 	3008 	16352 	3216 	1552 	3264 	0 	0
	Vert 	5888 	64 	0 	22144 	1408 	2880 	6016 	896 	784 	1520 	0 	0
16x16 	None 	4480 	0 	0 	13008 	3504 	1520 	9360 	1504 	1632 	1568 	0 	0
	Horz 	1872 	0 	0 	6320 	1408 	896 	2272 	1536 	928 	3344 	0 	0
	Vert 	1296 	0 	0 	3968 	928 	656 	2368 	832 	2160 	2000 	0 	0
8x8 	None 	160 	0 	0 	992 	124 	124 	260 	288 	320 	916 	0 	0
	Horz 	40 	0 	0 	188 	28 	20 	44 	60 	44 	500 	0 	0
	Vert 	16 	0 	0 	72 	16 	8 	24 	36 	28 	476 	0 	0
4x4 	None 	8 	0 	0 	28 	8 	8 	24 	16 	24 	172 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
