AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	67328 	0 	256 	14656 	9216 	832 	4192 	1120 	624 	1104 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	23552 	0 	0 	5504 	128 	3712 	3680 	112 	256 	432 	0 	0
64x64 	None 	154624 	2048 	768 	26304 	9664 	3008 	7888 	1120 	768 	1936 	0 	0
	Horz 	7424 	0 	0 	1856 	704 	0 	256 	0 	0 	0 	0 	0
	Vert 	3584 	0 	0 	704 	0 	256 	48 	0 	16 	0 	0 	0
32x32 	None 	18304 	256 	0 	9408 	256 	704 	240 	16 	0 	0 	0 	0
	Horz 	6592 	0 	0 	448 	3712 	0 	688 	128 	16 	0 	0 	0
	Vert 	3200 	0 	0 	512 	0 	640 	624 	0 	160 	48 	0 	0
16x16 	None 	5392 	0 	0 	368 	416 	288 	544 	48 	160 	352 	0 	0
	Horz 	3280 	0 	0 	256 	176 	48 	288 	208 	112 	1744 	0 	0
	Vert 	1808 	0 	0 	112 	80 	192 	160 	48 	160 	688 	0 	0
8x8 	None 	724 	0 	0 	96 	0 	12 	20 	24 	8 	640 	0 	0
	Horz 	304 	0 	0 	44 	0 	0 	4 	4 	0 	348 	0 	0
	Vert 	108 	0 	0 	12 	0 	4 	8 	4 	8 	260 	0 	0
4x4 	None 	32 	0 	0 	8 	0 	0 	0 	0 	0 	80 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
