AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	0 	0 	0 	0 	0 	0 	416 	0 	0 	1632 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	1024 	0 	0 	256 	0 	0 	656 	0 	0 	112 	0 	0
64x64 	None 	9728 	0 	0 	2816 	256 	64 	6256 	96 	16 	3040 	0 	0
	Horz 	512 	0 	0 	192 	0 	0 	176 	16 	16 	112 	0 	0
	Vert 	512 	0 	0 	192 	64 	0 	208 	0 	16 	32 	0 	0
32x32 	None 	3072 	0 	0 	40192 	1856 	2048 	11680 	944 	688 	3200 	0 	0
	Horz 	3200 	0 	0 	24128 	6784 	2624 	27536 	3408 	1392 	7344 	0 	0
	Vert 	1600 	0 	0 	10368 	1984 	1792 	13168 	576 	720 	2112 	0 	0
16x16 	None 	2256 	0 	0 	21808 	8800 	3968 	39008 	3248 	2320 	8784 	0 	0
	Horz 	1424 	0 	0 	15200 	6816 	2144 	20400 	4848 	2736 	10256 	0 	0
	Vert 	528 	0 	0 	6592 	3168 	1456 	12656 	2208 	3104 	7360 	0 	0
8x8 	None 	24 	0 	0 	960 	316 	176 	1868 	620 	704 	2232 	0 	0
	Horz 	4 	0 	0 	116 	44 	36 	296 	124 	76 	712 	0 	0
	Vert 	4 	0 	0 	40 	40 	12 	136 	48 	56 	580 	0 	0
4x4 	None 	0 	0 	0 	20 	16 	16 	52 	40 	28 	396 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
