AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	231168 	12544 	10496 	28992 	4672 	3776 	9840 	1440 	1312 	1936 	0 	0
	Horz 	11776 	4352 	768 	3136 	384 	64 	704 	736 	48 	560 	0 	0
	Vert 	0 	13312 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	1410816 	183808 	174592 	488576 	79296 	80832 	138400 	22768 	19408 	28576 	0 	0
	Horz 	224768 	154880 	35840 	235712 	66304 	32000 	57952 	18208 	7632 	18672 	0 	0
	Vert 	242176 	34304 	101120 	221376 	22208 	68800 	60240 	8096 	15264 	16176 	0 	0
32x32 	None 	340608 	126016 	103168 	600000 	99200 	128832 	155456 	33312 	23488 	35552 	0 	0
	Horz 	99200 	42304 	19520 	136832 	57216 	29440 	60384 	14752 	6912 	14784 	0 	0
	Vert 	69120 	18112 	36032 	141504 	22144 	70848 	77104 	9248 	15984 	19776 	0 	0
16x16 	None 	49968 	14112 	15008 	84416 	28336 	36784 	83744 	13008 	13184 	20000 	0 	0
	Horz 	14240 	6816 	2624 	24384 	13856 	7456 	23392 	10784 	5072 	14336 	0 	0
	Vert 	10992 	2816 	5856 	23456 	4368 	14416 	22992 	4832 	9216 	14608 	0 	0
8x8 	None 	1548 	952 	460 	4048 	1652 	1852 	3972 	2444 	1788 	4992 	0 	0
	Horz 	164 	112 	8 	616 	484 	192 	752 	420 	244 	1396 	0 	0
	Vert 	156 	56 	108 	552 	104 	280 	664 	204 	416 	1136 	0 	0
4x4 	None 	12 	16 	0 	80 	32 	4 	36 	20 	32 	316 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
