AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	29696 	768 	1024 	8000 	896 	384 	3104 	224 	224 	736 	0 	0
	Horz 	6656 	1024 	256 	640 	0 	0 	128 	0 	0 	0 	0 	0
	Vert 	2048 	7680 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	210432 	29952 	36608 	152256 	14528 	12800 	37136 	3504 	2528 	7648 	0 	0
	Horz 	93440 	55552 	26368 	164352 	20672 	11648 	35632 	5632 	2368 	8784 	0 	0
	Vert 	68352 	24064 	40960 	167552 	13824 	19904 	39776 	3280 	3344 	9088 	0 	0
32x32 	None 	175168 	114816 	111744 	1010752 	133824 	144000 	357344 	58096 	33584 	67264 	0 	0
	Horz 	61632 	48512 	37760 	441984 	120896 	65280 	259840 	51472 	22208 	59312 	0 	0
	Vert 	42560 	29184 	40448 	401408 	60352 	115520 	267696 	27552 	45584 	64544 	0 	0
16x16 	None 	23104 	19040 	18960 	274400 	72944 	79632 	327440 	40896 	42288 	75072 	0 	0
	Horz 	8064 	7104 	6784 	104544 	41664 	26880 	133680 	49056 	19952 	58592 	0 	0
	Vert 	5184 	3600 	5648 	78848 	19024 	40304 	122592 	18480 	37792 	58928 	0 	0
8x8 	None 	720 	836 	712 	15172 	5952 	6144 	26112 	25056 	7752 	21972 	0 	0
	Horz 	92 	40 	76 	1324 	1044 	540 	4200 	2288 	1028 	4416 	0 	0
	Vert 	108 	44 	68 	1388 	444 	1056 	3676 	1124 	1664 	4316 	0 	0
4x4 	None 	8 	0 	8 	188 	112 	84 	556 	212 	212 	1160 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
