AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	79104 	3584 	3584 	12480 	1600 	896 	5856 	960 	512 	2016 	0 	0
	Horz 	7168 	768 	0 	1280 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	8192 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	658176 	101120 	99328 	296640 	45568 	47680 	81568 	10864 	8608 	16208 	0 	0
	Horz 	207104 	119552 	46848 	227392 	57728 	36032 	59072 	13376 	5088 	15520 	0 	0
	Vert 	239616 	54528 	93696 	243712 	35136 	73664 	65888 	6752 	9872 	15792 	0 	0
32x32 	None 	323392 	143232 	127808 	796928 	150976 	181504 	245856 	55296 	30432 	55424 	0 	0
	Horz 	91264 	51648 	35328 	221632 	106432 	53952 	111088 	27328 	10352 	27744 	0 	0
	Vert 	71040 	24000 	43520 	228928 	41216 	109696 	132000 	13232 	24944 	35776 	0 	0
16x16 	None 	48352 	21984 	21424 	150640 	56896 	70336 	158960 	19744 	23168 	36768 	0 	0
	Horz 	15632 	10688 	5872 	52608 	29056 	20272 	51776 	21104 	8752 	28528 	0 	0
	Vert 	11552 	4816 	7776 	44048 	13040 	30560 	51344 	7920 	18032 	28160 	0 	0
8x8 	None 	1296 	1944 	976 	8956 	4540 	5496 	10112 	9020 	3596 	9040 	0 	0
	Horz 	180 	256 	60 	900 	1200 	532 	1628 	1028 	400 	1948 	0 	0
	Vert 	108 	80 	176 	824 	320 	868 	1444 	384 	656 	1652 	0 	0
4x4 	None 	16 	24 	4 	144 	68 	88 	192 	168 	100 	496 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
