AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	2560 	0 	0 	2560 	320 	0 	2816 	64 	96 	800 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	3328 	0 	0 	1344 	192 	64 	3488 	32 	128 	128 	0 	0
64x64 	None 	19712 	0 	0 	14592 	2560 	768 	11616 	288 	272 	5744 	0 	0
	Horz 	2304 	0 	0 	2240 	320 	384 	1584 	32 	80 	736 	0 	0
	Vert 	768 	0 	0 	1024 	64 	0 	1216 	16 	16 	224 	0 	0
32x32 	None 	17408 	0 	0 	70016 	6848 	3072 	15664 	720 	672 	7392 	0 	0
	Horz 	11072 	0 	0 	19456 	9408 	1664 	22224 	832 	704 	4272 	0 	0
	Vert 	6080 	0 	0 	13952 	1728 	1344 	10000 	384 	528 	2016 	0 	0
16x16 	None 	7168 	0 	0 	14608 	3232 	1120 	18512 	944 	800 	4208 	0 	0
	Horz 	2784 	0 	0 	5488 	1248 	640 	4720 	624 	496 	4272 	0 	0
	Vert 	3104 	0 	0 	4976 	1120 	560 	4912 	416 	704 	3072 	0 	0
8x8 	None 	484 	0 	0 	992 	112 	72 	1268 	320 	332 	2528 	0 	0
	Horz 	108 	0 	0 	296 	32 	16 	332 	60 	80 	1708 	0 	0
	Vert 	80 	0 	0 	212 	36 	4 	176 	4 	40 	880 	0 	0
4x4 	None 	32 	0 	0 	116 	12 	20 	288 	96 	156 	628 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
