AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	2910464 	340224 	11264 	52480 	6336 	5568 	15520 	592 	912 	2048 	0 	0
	Horz 	512 	256 	0 	192 	64 	0 	0 	0 	0 	0 	0 	0
	Vert 	768 	0 	0 	192 	0 	64 	0 	0 	0 	0 	0 	0
64x64 	None 	152576 	5376 	512 	4288 	192 	512 	768 	48 	64 	16 	0 	0
	Horz 	4864 	7680 	0 	1472 	576 	192 	320 	0 	0 	0 	0 	0
	Vert 	17920 	1280 	2304 	4736 	384 	960 	1008 	16 	64 	0 	0 	0
32x32 	None 	39488 	3392 	1280 	14208 	512 	1344 	928 	0 	0 	32 	0 	0
	Horz 	4224 	384 	64 	2112 	1728 	768 	3200 	240 	144 	128 	0 	0
	Vert 	9792 	960 	768 	4992 	576 	1152 	2928 	144 	416 	288 	0 	0
16x16 	None 	6736 	672 	160 	1680 	656 	944 	4176 	224 	192 	352 	0 	0
	Horz 	1328 	176 	16 	688 	320 	240 	1824 	592 	240 	1024 	0 	0
	Vert 	2656 	240 	16 	720 	192 	400 	1584 	192 	256 	1184 	0 	0
8x8 	None 	216 	12 	0 	36 	8 	12 	96 	40 	40 	432 	0 	0
	Horz 	24 	16 	0 	8 	4 	4 	36 	0 	0 	180 	0 	0
	Vert 	44 	0 	0 	4 	4 	0 	28 	8 	8 	128 	0 	0
4x4 	None 	4 	4 	0 	0 	0 	0 	0 	0 	0 	28 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
