AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	1312512 	224768 	37376 	83648 	9664 	9728 	30960 	2176 	4096 	9488 	0 	0
	Horz 	0 	0 	0 	320 	192 	128 	352 	16 	0 	16 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	1007104 	27392 	44288 	67328 	7744 	8064 	30224 	3184 	4688 	14192 	0 	0
	Horz 	78336 	77312 	4096 	13184 	2112 	1088 	6048 	560 	560 	3584 	0 	0
	Vert 	172800 	4608 	16896 	23360 	1408 	2496 	6816 	592 	1344 	4688 	0 	0
32x32 	None 	95616 	4928 	7488 	25792 	1472 	2048 	8480 	816 	1008 	4608 	0 	0
	Horz 	11648 	8768 	768 	3520 	1728 	192 	3888 	368 	368 	2416 	0 	0
	Vert 	29312 	960 	2496 	6272 	640 	1664 	4544 	256 	464 	4016 	0 	0
16x16 	None 	10688 	1984 	656 	3648 	896 	976 	4832 	336 	400 	2640 	0 	0
	Horz 	3584 	432 	256 	1232 	496 	208 	2576 	448 	240 	4976 	0 	0
	Vert 	4848 	912 	528 	2096 	352 	480 	3312 	352 	480 	6976 	0 	0
8x8 	None 	784 	208 	76 	380 	92 	60 	464 	52 	56 	2848 	0 	0
	Horz 	236 	36 	8 	84 	20 	0 	176 	20 	28 	1988 	0 	0
	Vert 	184 	76 	12 	160 	16 	4 	200 	4 	36 	2000 	0 	0
4x4 	None 	28 	0 	0 	16 	16 	0 	40 	4 	8 	1020 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
