AV1 		 VP9
		64x64 			32x32 			16x16 			8x8 
		None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 	None 	Horz 	Vert 
128x128 	None 	3048960 	304384 	11008 	42816 	3264 	4288 	14960 	448 	752 	1568 	0 	0
	Horz 	512 	512 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	1024 	512 	0 	1280 	256 	0 	0 	0 	0 	0 	0 	0
64x64 	None 	118272 	3072 	2560 	3392 	192 	320 	400 	0 	32 	16 	0 	0
	Horz 	5376 	4608 	512 	1792 	320 	0 	432 	0 	16 	0 	0 	0
	Vert 	12800 	1024 	768 	5312 	448 	512 	352 	0 	32 	0 	0 	0
32x32 	None 	34816 	448 	768 	5824 	256 	448 	240 	32 	32 	16 	0 	0
	Horz 	4224 	320 	64 	2368 	768 	192 	1840 	144 	96 	96 	0 	0
	Vert 	8960 	128 	320 	3200 	192 	448 	1648 	144 	192 	128 	0 	0
16x16 	None 	7040 	448 	80 	928 	176 	208 	1392 	64 	80 	64 	0 	0
	Horz 	912 	32 	32 	448 	112 	144 	512 	96 	32 	224 	0 	0
	Vert 	1792 	0 	16 	240 	96 	64 	608 	112 	112 	272 	0 	0
8x8 	None 	88 	0 	0 	40 	0 	24 	0 	0 	12 	60 	0 	0
	Horz 	20 	0 	0 	8 	0 	4 	8 	0 	4 	32 	0 	0
	Vert 	4 	0 	0 	0 	0 	4 	8 	0 	0 	16 	0 	0
4x4 	None 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	0 	0
	Horz 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
	Vert 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
